customer_id,signup_date,last_login,annual_fee,subscription_type,payment_method,account_age,number_of_logins,total_spent,num_tickets_raised,avg_response_time,satisfaction_score,country,device,usage_hours_per_month,churn
4vnk0J,2/16/2024,9/23/2023,79.99,Premium,CreditCard,32,858,998.3,17,20.7,5,USA,Tablet,57,true
KdH0DD,5/26/2024,4/13/2024,29.99,Basic,CreditCard,30,959,763.22,16,16.5,3,Japan,Mobile,85,true
5nPvm2,2/25/2024,2/28/2024,29.99,Basic,CreditCard,24,696,466.83,15,19.3,3,Germany,Tablet,62,false
0rSC16,1/1/2024,6/20/2024,59.99,Gold,DebitCard,24,638,4586.71,20,26.8,3,USA,Mobile,176,true
IsJ7Xl,11/17/2023,7/10/2023,59.99,Gold,CreditCard,12,76,3804.33,1,41.6,6,USA,Desktop,59,true
XXc5nU,6/15/2024,1/15/2024,59.99,Gold,CreditCard,26,699,2643.8,19,17.3,4,Germany,Desktop,53,false
4W9p4G,12/19/2023,7/22/2023,79.99,Premium,DebitCard,1,13,3221.48,12,8.6,2,USA,Mobile,21,false
W4vz8D,4/30/2024,2/4/2024,29.99,Basic,DebitCard,3,749,1503.61,19,25.9,5,China,Mobile,44,true
5bXzd7,1/7/2024,11/26/2023,79.99,Premium,UPI,3,282,814.83,7,34.8,1,Australia,Desktop,162,true
v4Gh01,8/31/2023,3/22/2024,79.99,Premium,DebitCard,36,171,2314.78,3,37.7,3,Australia,Desktop,96,false
09z1km,8/14/2023,6/8/2024,29.99,Basic,CreditCard,15,709,4017.36,20,11.2,10,Brazil,Mobile,42,true
j4H6e6,9/13/2023,6/12/2024,59.99,Gold,DebitCard,27,909,1033.78,13,32.2,8,Australia,Mobile,145,true
OGBI7F,9/2/2023,2/10/2024,59.99,Gold,DebitCard,24,971,4356.99,11,33.0,10,Brazil,Desktop,139,false
VK8h9U,10/12/2023,11/3/2023,29.99,Basic,CreditCard,17,752,98.37,7,29.1,10,Australia,Mobile,26,false
O6En9R,1/5/2024,4/2/2024,29.99,Basic,DebitCard,13,410,4499.02,2,28.1,5,UK,Mobile,171,false
zfk1WM,4/4/2024,7/29/2023,59.99,Gold,DebitCard,11,475,1316.26,6,3.6,10,Brazil,Mobile,142,false
iK8K32,7/5/2023,6/28/2024,29.99,Basic,UPI,31,888,1312.39,19,32.6,1,UK,Tablet,196,true
125vgk,2/20/2024,7/26/2023,29.99,Basic,CreditCard,8,619,726.01,15,10.2,5,Taiwan,Mobile,36,true
yc301I,7/9/2023,1/4/2024,29.99,Basic,CreditCard,3,688,1242.39,15,31.9,6,Brazil,Desktop,145,false
4PNNys,5/30/2024,8/31/2023,79.99,Premium,DebitCard,25,667,4929.24,20,24.5,5,UK,Desktop,161,false
7jp7Bq,9/6/2023,6/24/2024,59.99,Gold,DebitCard,5,519,4061.87,14,42.3,10,Japan,Desktop,101,true
qssFPE,11/15/2023,1/22/2024,59.99,Gold,UPI,11,97,3368.42,18,26.0,1,Australia,Tablet,20,true
8YV5I3,11/5/2023,9/10/2023,59.99,Gold,DebitCard,13,226,2524.92,2,46.8,6,China,Mobile,113,false
Yxe16N,7/18/2023,6/1/2024,29.99,Basic,UPI,13,871,3034.55,2,37.9,1,France,Mobile,80,true
67rata,5/2/2024,3/21/2024,29.99,Basic,UPI,13,854,3010.54,2,41.4,6,USA,Tablet,62,true
PZSyRO,8/1/2023,4/20/2024,29.99,Basic,UPI,5,362,4769.62,0,34.1,9,USA,Mobile,87,true
TWpuCi,4/5/2024,8/28/2023,59.99,Gold,UPI,21,871,4574.85,10,13.3,3,Australia,Mobile,154,false
6Stm06,1/10/2024,3/21/2024,29.99,Basic,UPI,7,531,4585.23,9,17.3,1,Germany,Tablet,15,false
96O41n,9/11/2023,3/25/2024,29.99,Basic,DebitCard,33,750,119.83,17,35.2,1,UK,Mobile,18,true
WFS6f1,4/2/2024,1/22/2024,79.99,Premium,DebitCard,30,68,2440.96,12,23.9,7,Australia,Tablet,167,true
0TUO0o,8/10/2023,4/22/2024,29.99,Basic,DebitCard,23,927,4870.57,6,3.0,9,Canada,Mobile,33,true
QdxpiG,2/25/2024,11/7/2023,29.99,Basic,UPI,5,575,1696.72,12,32.8,3,France,Mobile,157,false
y1kv67,5/14/2024,3/5/2024,29.99,Basic,UPI,16,444,2147.48,17,4.5,10,Germany,Mobile,61,true
29q9Uj,11/27/2023,6/11/2024,29.99,Basic,CreditCard,8,74,2958.4,17,38.2,3,France,Mobile,138,false
UbeEdl,12/15/2023,12/2/2023,59.99,Gold,DebitCard,32,218,285.0,0,1.7,7,Germany,Mobile,127,true
t3bD8U,8/8/2023,5/4/2024,79.99,Premium,UPI,36,17,932.02,16,26.2,7,Germany,Mobile,130,false
hK0ntM,10/29/2023,6/28/2024,29.99,Basic,CreditCard,8,16,594.55,10,45.1,9,Australia,Desktop,135,false
0yB16d,3/5/2024,11/5/2023,29.99,Basic,UPI,20,797,3512.93,18,18.1,9,USA,Desktop,186,false
92wR3A,3/30/2024,7/12/2023,29.99,Basic,DebitCard,5,944,1004.28,14,41.1,6,Japan,Mobile,5,false
L0kzEa,3/10/2024,1/31/2024,29.99,Basic,CreditCard,34,564,584.85,5,22.0,1,Canada,Desktop,23,false
1319jj,10/7/2023,5/23/2024,59.99,Gold,UPI,24,110,1356.02,6,38.2,8,Brazil,Desktop,17,true
zjjlAM,4/11/2024,5/30/2024,59.99,Gold,DebitCard,35,653,3221.47,13,21.8,3,USA,Tablet,101,false
M3X11f,1/11/2024,4/25/2024,59.99,Gold,CreditCard,23,623,198.49,15,32.7,2,Taiwan,Tablet,129,true
0306s0,1/15/2024,6/8/2024,79.99,Premium,UPI,25,303,853.91,11,12.9,10,Brazil,Mobile,67,true
b1oq16,12/22/2023,6/30/2023,59.99,Gold,CreditCard,3,694,2976.59,8,13.4,10,USA,Mobile,161,true
k5ucmO,11/29/2023,12/1/2023,29.99,Basic,CreditCard,20,375,2475.28,14,5.4,5,Australia,Mobile,109,true
0W5hl0,2/22/2024,5/23/2024,29.99,Basic,DebitCard,15,802,1593.21,0,40.9,6,Japan,Desktop,175,true
87KCR2,1/12/2024,2/5/2024,59.99,Gold,DebitCard,15,874,4923.1,10,18.4,6,Australia,Desktop,39,true
K0sXE8,3/25/2024,7/22/2023,29.99,Basic,DebitCard,23,171,1422.1,2,19.3,5,Australia,Tablet,35,false
i64v7W,12/8/2023,11/13/2023,29.99,Basic,UPI,26,800,1323.37,12,22.5,8,Canada,Mobile,187,true
jj4ncu,4/12/2024,6/23/2024,29.99,Basic,DebitCard,13,942,3577.21,19,17.9,7,Australia,Desktop,27,true
u9rkBU,12/26/2023,1/31/2024,79.99,Premium,UPI,9,136,750.38,12,47.8,5,France,Tablet,186,true
BppQNs,10/14/2023,8/1/2023,29.99,Basic,DebitCard,12,175,772.87,20,35.9,10,France,Desktop,85,true
hkKXm8,10/31/2023,2/12/2024,59.99,Gold,UPI,19,71,2658.62,4,40.5,1,France,Tablet,24,true
v166MX,9/1/2023,12/1/2023,59.99,Gold,UPI,9,795,1256.35,15,39.9,4,Australia,Desktop,30,false
E69j94,7/25/2023,9/27/2023,59.99,Gold,CreditCard,3,447,1711.76,15,41.6,6,Canada,Desktop,190,false
NFjJnP,2/22/2024,7/9/2023,59.99,Gold,DebitCard,3,30,3139.61,5,45.5,10,UK,Tablet,134,true
O5AqY7,1/11/2024,11/25/2023,59.99,Gold,DebitCard,26,688,1358.9,20,9.3,2,Canada,Tablet,64,false
6ot34d,9/27/2023,9/21/2023,59.99,Gold,CreditCard,6,247,4297.01,16,2.3,5,USA,Mobile,50,true
0Xmc4M,8/15/2023,9/1/2023,29.99,Basic,DebitCard,34,67,3025.2,18,36.5,6,USA,Mobile,32,false
F28533,4/24/2024,3/1/2024,59.99,Gold,DebitCard,12,424,890.86,20,47.9,9,China,Tablet,120,true
08B999,9/1/2023,9/16/2023,79.99,Premium,CreditCard,33,529,2734.31,16,7.3,8,Canada,Mobile,142,false
d0ZbhD,10/16/2023,2/28/2024,79.99,Premium,CreditCard,15,29,137.99,18,28.4,7,Japan,Tablet,135,false
TVnmkq,5/6/2024,5/23/2024,59.99,Gold,UPI,36,22,189.43,15,39.3,9,Germany,Mobile,95,true
20gf64,12/4/2023,6/4/2024,79.99,Premium,DebitCard,2,868,2918.08,15,24.0,3,Japan,Tablet,42,true
Xq938y,10/22/2023,9/5/2023,29.99,Basic,UPI,25,614,3322.77,14,6.7,10,France,Mobile,103,false
VU4lqN,12/5/2023,9/12/2023,59.99,Gold,CreditCard,25,640,2933.88,2,23.4,3,Brazil,Desktop,75,false
3p60JX,5/2/2024,9/26/2023,79.99,Premium,UPI,27,130,1651.07,19,5.5,3,Germany,Tablet,35,true
8rN14V,7/9/2023,4/18/2024,29.99,Basic,UPI,22,756,1927.11,17,42.3,6,Brazil,Tablet,40,false
9QNw0j,9/6/2023,10/7/2023,59.99,Gold,UPI,27,706,2710.21,11,8.0,1,France,Desktop,186,true
0pwV36,12/20/2023,4/21/2024,59.99,Gold,DebitCard,34,199,1246.23,6,25.5,3,Germany,Mobile,95,true
06ymAy,4/7/2024,10/25/2023,59.99,Gold,DebitCard,23,160,4859.79,18,19.9,4,Japan,Mobile,62,false
Ix40YB,3/31/2024,7/16/2023,29.99,Basic,DebitCard,8,888,4222.7,3,10.5,5,Australia,Desktop,129,false
Owl9qM,5/11/2024,10/12/2023,79.99,Premium,CreditCard,28,715,2156.72,14,15.0,3,Canada,Mobile,79,false
x09N1t,3/1/2024,4/10/2024,79.99,Premium,DebitCard,23,443,2389.36,11,38.2,9,China,Tablet,15,true
iK5Q2M,4/22/2024,12/24/2023,59.99,Gold,CreditCard,5,822,4116.32,17,29.6,1,USA,Tablet,30,true
r9f85K,12/18/2023,5/11/2024,59.99,Gold,UPI,17,335,3609.23,17,45.3,3,France,Mobile,55,false
JB2EQs,10/27/2023,8/20/2023,79.99,Premium,CreditCard,35,74,3678.47,13,10.6,2,Germany,Mobile,41,false
5E14r6,9/29/2023,5/20/2024,29.99,Basic,CreditCard,2,292,3915.67,1,5.0,9,Canada,Mobile,145,false
1YuC5i,10/7/2023,9/13/2023,29.99,Basic,CreditCard,21,32,3332.68,8,9.5,2,Japan,Mobile,47,true
8Qp2v1,3/21/2024,11/22/2023,59.99,Gold,CreditCard,13,612,895.97,5,10.8,4,USA,Desktop,58,false
hwac4Z,1/25/2024,5/19/2024,29.99,Basic,UPI,1,235,4543.94,2,44.7,3,USA,Mobile,189,false
ijS4W2,4/13/2024,12/19/2023,29.99,Basic,CreditCard,34,982,3517.2,15,7.9,6,USA,Desktop,117,false
kFF1XL,8/3/2023,6/21/2024,29.99,Basic,DebitCard,11,659,3490.01,8,42.9,5,France,Desktop,74,true
UUh4qp,1/2/2024,7/6/2023,29.99,Basic,DebitCard,36,93,1950.09,1,9.6,8,Germany,Desktop,18,true
mWic03,3/4/2024,10/22/2023,59.99,Gold,UPI,23,1000,1652.34,3,29.7,6,China,Mobile,85,true
lgrMW6,2/21/2024,5/22/2024,79.99,Premium,CreditCard,33,881,1961.25,15,25.3,6,Australia,Mobile,39,true
Ip9EUj,5/16/2024,7/27/2023,29.99,Basic,CreditCard,19,294,2438.76,8,27.6,8,Canada,Desktop,36,false
KF4854,6/27/2024,3/21/2024,79.99,Premium,DebitCard,25,859,331.92,4,31.3,10,China,Desktop,124,false
MW1l4D,6/27/2024,4/14/2024,59.99,Gold,UPI,24,82,2460.7,13,5.3,4,Australia,Mobile,50,false
aWou73,3/19/2024,1/20/2024,79.99,Premium,CreditCard,23,966,246.41,11,40.7,10,France,Tablet,194,true
T4uimc,4/23/2024,11/12/2023,79.99,Premium,CreditCard,11,718,1959.81,13,31.4,10,France,Tablet,102,true
s6wJ56,2/26/2024,1/24/2024,59.99,Gold,UPI,4,116,1117.43,9,11.3,4,Taiwan,Tablet,25,false
e9hbnE,9/15/2023,5/2/2024,29.99,Basic,DebitCard,3,831,3183.49,3,6.2,7,USA,Tablet,191,true
m53E9k,1/24/2024,1/16/2024,29.99,Basic,DebitCard,6,420,3372.3,18,23.8,10,USA,Mobile,78,true
2Fpe7Z,6/15/2024,10/2/2023,29.99,Basic,UPI,8,593,2143.86,8,3.5,1,Brazil,Mobile,184,false
2MO3w1,4/16/2024,8/31/2023,59.99,Gold,DebitCard,3,320,1464.71,20,27.5,10,USA,Tablet,153,false
2ark73,8/26/2023,11/25/2023,59.99,Gold,CreditCard,19,791,1865.63,17,19.3,5,Taiwan,Desktop,148,true
q40UfF,8/4/2023,4/22/2024,29.99,Basic,DebitCard,33,986,4305.46,14,30.5,6,France,Mobile,64,true
8Mmem6,3/29/2024,11/17/2023,79.99,Premium,CreditCard,4,995,59.77,3,6.7,8,Australia,Tablet,178,true
I0SQ30,4/23/2024,9/24/2023,79.99,Premium,CreditCard,13,253,1976.27,5,47.4,10,Australia,Mobile,109,true
0kaOmc,4/28/2024,6/30/2023,29.99,Basic,UPI,16,314,2491.17,11,28.8,9,China,Mobile,48,false
64V9Y2,10/25/2023,8/20/2023,59.99,Gold,CreditCard,21,926,1044.46,18,18.4,9,Australia,Mobile,133,false
BEC491,2/21/2024,9/21/2023,59.99,Gold,UPI,12,239,4813.35,16,20.4,9,China,Tablet,157,true
RXZv9W,1/20/2024,3/21/2024,59.99,Gold,CreditCard,17,103,4956.16,8,32.2,1,UK,Tablet,115,false
2219jf,12/29/2023,2/16/2024,29.99,Basic,UPI,1,72,2018.21,18,32.4,10,USA,Mobile,30,true
DXw44Z,11/2/2023,2/16/2024,59.99,Gold,CreditCard,5,364,3883.84,4,4.1,8,UK,Mobile,10,true
e5YtyO,10/21/2023,12/20/2023,29.99,Basic,DebitCard,12,601,4730.34,1,10.3,8,USA,Tablet,41,true
rFY27R,3/28/2024,3/27/2024,79.99,Premium,CreditCard,12,196,3748.05,12,45.7,5,USA,Tablet,151,false
74oli7,9/12/2023,3/4/2024,29.99,Basic,UPI,13,10,879.53,5,14.0,8,Germany,Mobile,53,false
jXFHon,6/25/2024,7/13/2023,79.99,Premium,UPI,31,852,3792.19,2,31.2,2,USA,Desktop,115,true
V0rUa6,4/19/2024,3/30/2024,29.99,Basic,UPI,20,1000,3164.95,7,43.0,1,France,Desktop,15,true
8nyMjG,5/20/2024,2/29/2024,29.99,Basic,CreditCard,21,57,3960.11,8,46.9,10,USA,Tablet,0,false
w6qzP1,12/29/2023,8/10/2023,59.99,Gold,DebitCard,33,209,3708.43,15,20.9,1,Brazil,Tablet,17,false
tb9ox6,11/28/2023,1/18/2024,29.99,Basic,CreditCard,26,698,4475.8,0,46.2,6,Canada,Mobile,143,false
S9F1et,6/19/2024,4/19/2024,59.99,Gold,UPI,26,88,3764.47,10,38.6,5,France,Mobile,93,true
ra5wok,9/13/2023,8/24/2023,59.99,Gold,CreditCard,10,831,2724.9,13,2.1,3,Germany,Mobile,164,false
Hjsl8Z,2/12/2024,7/27/2023,29.99,Basic,CreditCard,24,464,1489.33,12,3.9,7,UK,Tablet,1,false
tX736N,7/24/2023,10/10/2023,29.99,Basic,UPI,33,688,4507.37,10,13.8,8,Japan,Tablet,12,true
En91to,7/11/2023,9/15/2023,59.99,Gold,UPI,21,266,1525.12,1,31.2,1,UK,Mobile,161,false
3870CK,10/25/2023,4/6/2024,79.99,Premium,DebitCard,11,953,985.08,14,31.7,9,Germany,Mobile,142,false
RH11a9,5/31/2024,3/11/2024,59.99,Gold,DebitCard,15,568,4711.38,6,31.5,7,France,Mobile,112,false
XUAyFe,3/4/2024,1/4/2024,29.99,Basic,DebitCard,32,295,214.89,16,41.8,4,Germany,Tablet,99,true
kz5nqy,2/19/2024,12/16/2023,79.99,Premium,CreditCard,21,469,4482.25,6,17.4,4,Australia,Mobile,90,true
L8j1lj,5/12/2024,1/6/2024,29.99,Basic,DebitCard,35,271,2165.71,2,16.5,5,USA,Desktop,104,true
H5O2XA,1/8/2024,12/16/2023,59.99,Gold,UPI,25,292,4024.54,14,39.3,8,UK,Mobile,31,true
nioE96,9/10/2023,5/6/2024,29.99,Basic,CreditCard,36,964,143.93,19,27.9,6,Australia,Tablet,7,true
OEIs3z,5/11/2024,6/6/2024,59.99,Gold,UPI,29,39,3104.79,5,22.4,6,UK,Mobile,25,true
P0r422,12/13/2023,4/16/2024,29.99,Basic,DebitCard,24,397,4275.36,10,40.9,4,Brazil,Mobile,187,true
71A1i0,3/29/2024,6/10/2024,29.99,Basic,DebitCard,14,596,2761.45,2,13.2,7,Taiwan,Mobile,76,false
03DHm9,5/22/2024,7/31/2023,29.99,Basic,CreditCard,27,69,345.53,14,27.9,9,UK,Desktop,32,true
uEx6Df,11/7/2023,6/17/2024,29.99,Basic,UPI,11,571,4417.19,15,33.3,10,Brazil,Tablet,28,true
u3lW9b,9/28/2023,9/24/2023,29.99,Basic,CreditCard,19,153,2771.07,12,43.3,1,USA,Desktop,188,false
6P96dV,1/19/2024,1/10/2024,29.99,Basic,UPI,2,489,1806.86,12,16.7,5,Germany,Desktop,14,false
3C69U0,4/20/2024,6/9/2024,29.99,Basic,CreditCard,4,937,137.26,1,20.5,4,Germany,Desktop,18,true
C45hz9,7/25/2023,9/10/2023,29.99,Basic,CreditCard,17,808,653.08,13,24.1,10,Japan,Mobile,160,false
10OQuM,9/19/2023,4/11/2024,59.99,Gold,CreditCard,27,325,4857.65,0,22.8,1,UK,Tablet,47,true
Pseb82,1/2/2024,9/30/2023,79.99,Premium,CreditCard,5,583,1511.33,16,4.5,5,Japan,Mobile,154,true
6cv6Qo,12/13/2023,8/26/2023,59.99,Gold,CreditCard,19,76,3669.77,16,44.5,9,Canada,Tablet,125,true
gl79Em,12/2/2023,12/17/2023,59.99,Gold,UPI,8,993,703.48,18,39.2,10,USA,Tablet,78,false
5UFwjf,7/29/2023,9/3/2023,59.99,Gold,CreditCard,1,329,4608.21,12,31.3,8,USA,Tablet,64,false
6Sy84v,3/25/2024,4/2/2024,29.99,Basic,CreditCard,2,638,4712.5,3,20.8,9,France,Desktop,109,false
3jsfC6,8/25/2023,11/27/2023,59.99,Gold,UPI,13,145,4949.65,10,25.1,8,Canada,Tablet,14,true
23H15c,7/22/2023,7/22/2023,79.99,Premium,DebitCard,20,616,1112.94,15,16.1,4,Australia,Tablet,152,true
6DeYNX,5/21/2024,7/14/2023,29.99,Basic,CreditCard,15,559,407.65,16,8.3,4,Germany,Desktop,142,false
a610v8,3/30/2024,11/25/2023,29.99,Basic,CreditCard,14,687,2407.94,13,28.7,3,Japan,Mobile,114,false
xERV4g,7/4/2023,8/27/2023,29.99,Basic,DebitCard,19,225,3696.83,0,35.0,3,Germany,Mobile,140,false
ywTnEt,6/10/2024,5/20/2024,29.99,Basic,CreditCard,19,409,4849.55,20,10.1,10,Germany,Desktop,196,false
8G070u,11/4/2023,9/2/2023,29.99,Basic,DebitCard,15,384,4186.89,6,10.0,6,Canada,Mobile,68,false
abd00T,12/5/2023,9/5/2023,79.99,Premium,CreditCard,27,349,193.83,0,19.4,3,Australia,Desktop,18,true
